loan_id,account_id,date,amount,duration,payments,status,account_id,district_id,frequency,date,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
4996,132,1996-11-06,88440,12,7370.0,A,132,40,POPLATEK PO OBRATU,1996-05-11,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.4,7.07,97,6949.0,6872
5002,173,1994-05-31,104808,12,8734.0,A,173,66,POPLATEK MESICNE,1993-11-26,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.5,4.12,102,2247.0,2103
5005,176,1997-04-10,27456,12,2288.0,A,176,71,POPLATEK TYDNE,1996-08-12,71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.7,8678,5.9,5.57,102,4980.0,4595
5015,226,1998-07-12,109344,12,9112.0,C,226,70,POPLATEK MESICNE,1997-02-23,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
5027,276,1998-12-02,160920,36,4470.0,C,276,38,POPLATEK MESICNE,1997-12-08,38,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.0,8.23,104,2653.0,2822
5032,290,1994-11-03,123696,48,2577.0,A,290,56,POPLATEK MESICNE,1993-12-02,56,Breclav,south Moravia,124605,11,42,14,1,8,46.0,8772,4.6,4.98,126,2854.0,3158
5034,303,1998-05-30,112752,36,3132.0,C,303,71,POPLATEK MESICNE,1996-07-25,71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.7,8678,5.9,5.57,102,4980.0,4595
5036,309,1998-11-25,91248,48,1901.0,C,309,14,POPLATEK MESICNE,1997-04-25,14,Ceske Budejovice,south Bohemia,177686,69,27,10,1,9,74.8,10045,1.4,1.71,135,6604.0,6295
5039,314,1997-05-03,66840,24,2785.0,C,314,15,POPLATEK PO OBRATU,1996-01-26,15,Cesky Krumlov,south Bohemia,58796,22,16,7,1,5,51.9,9045,3.1,3.6,124,1845.0,1879
5041,319,1997-07-11,369000,60,6150.0,C,319,47,POPLATEK TYDNE,1995-10-17,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410
5042,330,1998-07-12,331584,48,6908.0,C,330,42,POPLATEK MESICNE,1996-11-24,42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.4,2.94,87,1658.0,1668
5043,339,1997-12-25,468060,60,7801.0,C,339,46,POPLATEK TYDNE,1996-09-11,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.7,2.31,117,2854.0,2618
5044,344,1994-12-21,100980,60,1683.0,C,344,54,POPLATEK MESICNE,1993-12-01,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696
5045,347,1995-05-01,187224,24,7801.0,B,347,65,POPLATEK MESICNE,1993-12-13,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718
5046,349,1998-09-09,42816,12,3568.0,C,349,72,POPLATEK MESICNE,1997-06-08,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208
5051,378,1997-10-11,230400,60,3840.0,C,378,68,POPLATEK MESICNE,1996-07-22,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
5060,426,1994-07-19,252060,60,4201.0,D,426,1,POPLATEK MESICNE,1993-11-29,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5061,440,1998-03-13,84288,48,1756.0,C,440,29,POPLATEK MESICNE,1996-12-22,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.8,3.6,113,818.0,888
5063,442,1997-07-10,357840,48,7455.0,D,442,54,POPLATEK MESICNE,1997-03-30,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696
5072,472,1997-04-28,196800,24,8200.0,D,472,8,POPLATEK MESICNE,1996-10-11,8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.2,1.44,127,5179.0,4987
5082,501,1996-10-24,262980,60,4383.0,C,501,13,POPLATEK MESICNE,1995-10-21,13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875
5086,525,1997-07-16,210384,48,4383.0,C,525,70,POPLATEK MESICNE,1996-03-20,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
5088,544,1996-08-22,91152,24,3798.0,A,544,32,POPLATEK MESICNE,1995-05-15,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505
5103,666,1997-11-28,12540,12,1045.0,A,666,27,POPLATEK MESICNE,1996-03-15,27,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.6,1.29,110,1029.0,1127
5110,675,1997-04-01,102240,60,1704.0,C,675,58,POPLATEK MESICNE,1995-08-03,58,Jihlava,south Moravia,109164,98,16,6,1,4,63.6,8757,3.3,3.95,96,2212.0,2471
5117,718,1997-08-20,76944,12,6412.0,A,718,1,POPLATEK MESICNE,1996-03-03,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5124,785,1998-02-12,156096,36,4336.0,C,785,21,POPLATEK TYDNE,1997-08-09,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354
5125,789,1995-11-23,73056,48,1522.0,C,789,39,POPLATEK MESICNE,1995-02-06,39,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.3,9.4,90,4947.0,4743
5126,790,1994-07-24,208128,48,4336.0,B,790,54,POPLATEK MESICNE,1993-05-11,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696
5128,808,1996-04-11,215616,48,4492.0,D,808,69,POPLATEK MESICNE,1995-06-13,69,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,,7.01,124,,1358
5130,813,1994-05-11,24312,12,2026.0,A,813,16,POPLATEK MESICNE,1993-02-10,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913
5131,816,1995-01-08,48624,24,2026.0,A,816,52,POPLATEK MESICNE,1993-08-05,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799
5132,817,1995-02-17,538500,60,8975.0,C,817,5,POPLATEK MESICNE,1994-03-18,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040
5134,825,1997-02-02,53076,12,4423.0,A,825,19,POPLATEK MESICNE,1996-03-06,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099
5136,846,1996-07-28,187104,24,7796.0,A,846,72,POPLATEK MESICNE,1996-03-09,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208
5138,854,1995-05-30,87216,48,1817.0,C,854,62,POPLATEK MESICNE,1993-09-21,62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.2,1.86,109,2719.0,2906
5140,873,1998-02-24,178500,60,2975.0,C,873,73,POPLATEK MESICNE,1997-04-26,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433
5145,915,1995-09-16,309552,48,6449.0,C,915,72,POPLATEK MESICNE,1995-01-18,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208
5147,938,1998-05-21,22260,60,371.0,C,938,70,POPLATEK MESICNE,1997-12-13,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
5148,940,1996-05-29,284280,60,4738.0,C,940,37,POPLATEK MESICNE,1994-11-15,37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.4,5.39,123,4147.0,4166
5151,960,1995-05-24,189060,60,3151.0,C,960,4,POPLATEK PO OBRATU,1994-11-02,4,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.6,5.05,109,5244.0,5892
5154,993,1998-07-01,108720,60,1812.0,C,993,6,POPLATEK MESICNE,1996-11-14,6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.9,4.02,126,2640.0,3120
5158,1004,1998-04-11,188532,36,5237.0,C,1004,70,POPLATEK MESICNE,1996-07-02,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
5160,1011,1995-12-18,204000,60,3400.0,C,1011,45,POPLATEK MESICNE,1994-12-17,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.2,2.89,132,2080.0,2122
5161,1012,1994-10-28,98184,24,4091.0,A,1012,65,POPLATEK MESICNE,1994-07-09,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718
5169,1068,1998-09-24,253200,60,4220.0,C,1068,52,POPLATEK MESICNE,1997-02-15,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799
5170,1071,1994-01-20,253200,60,4220.0,C,1071,68,POPLATEK TYDNE,1993-05-10,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
5172,1083,1998-04-16,50976,36,1416.0,C,1083,45,POPLATEK MESICNE,1996-12-06,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.2,2.89,132,2080.0,2122
5174,1093,1997-06-13,385104,48,8023.0,C,1093,54,POPLATEK MESICNE,1996-01-14,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696
5176,1106,1994-11-12,192552,24,8023.0,B,1106,20,POPLATEK TYDNE,1993-08-29,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542
5189,1166,1994-02-07,149040,48,3105.0,A,1166,11,POPLATEK MESICNE,1993-04-21,11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.4,0.59,154,3475.0,3529
5206,1242,1997-09-07,128544,24,5356.0,C,1242,74,POPLATEK PO OBRATU,1996-11-24,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347
5207,1244,1997-02-28,35904,48,748.0,C,1244,68,POPLATEK MESICNE,1996-05-08,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
5208,1247,1995-03-16,99696,48,2077.0,D,1247,25,POPLATEK MESICNE,1993-06-08,25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.4,2.68,113,1822.0,2218
5209,1250,1996-11-25,182640,48,3805.0,C,1250,62,POPLATEK MESICNE,1996-03-28,62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.2,1.86,109,2719.0,2906
5210,1252,1997-04-01,148140,36,4115.0,C,1252,13,POPLATEK TYDNE,1995-07-26,13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875
5212,1256,1995-05-29,71064,36,1974.0,A,1256,38,POPLATEK MESICNE,1994-04-21,38,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.0,8.23,104,2653.0,2822
5214,1270,1997-07-01,74772,36,2077.0,C,1270,55,POPLATEK PO OBRATU,1996-06-07,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894
5221,1284,1998-12-05,52512,12,4376.0,C,1284,55,POPLATEK MESICNE,1997-07-02,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894
5226,1318,1998-10-11,185544,36,5154.0,C,1318,56,POPLATEK MESICNE,1997-12-22,56,Breclav,south Moravia,124605,11,42,14,1,8,46.0,8772,4.6,4.98,126,2854.0,3158
5229,1329,1997-09-06,23520,12,1960.0,A,1329,53,POPLATEK MESICNE,1996-09-16,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903
5236,1374,1997-09-15,389136,48,8107.0,C,1374,53,POPLATEK MESICNE,1996-09-26,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903
5237,1375,1995-08-29,45336,24,1889.0,A,1375,19,POPLATEK MESICNE,1994-04-27,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099
5241,1389,1998-09-02,125472,24,5228.0,C,1389,34,POPLATEK MESICNE,1997-08-05,34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.4,7.68,100,5323.0,5190
5245,1407,1998-01-17,125472,24,5228.0,C,1407,19,POPLATEK PO OBRATU,1997-04-11,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099
5253,1447,1997-06-03,100080,48,2085.0,C,1447,65,POPLATEK MESICNE,1997-02-20,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718
5260,1480,1998-01-19,123300,36,3425.0,C,1480,41,POPLATEK TYDNE,1996-07-03,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.3,4.48,114,6445.0,5471
5265,1498,1998-10-07,165780,60,2763.0,C,1498,62,POPLATEK TYDNE,1997-02-07,62,Uherske Hradiste,south Moravia,145688,22,41,13,2,5,40.7,8544,1.2,1.86,109,2719.0,2906
5269,1527,1994-11-19,164052,36,4557.0,B,1527,31,POPLATEK PO OBRATU,1993-11-17,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452
5270,1528,1997-07-21,191088,48,3981.0,C,1528,50,POPLATEK MESICNE,1996-06-08,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.8,5.45,94,2123.0,2134
5281,1580,1997-11-27,194256,24,8094.0,C,1580,69,POPLATEK MESICNE,1996-01-08,69,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,,7.01,124,,1358
5282,1583,1996-08-24,388512,48,8094.0,D,1583,69,POPLATEK PO OBRATU,1994-11-17,69,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,,7.01,124,,1358
5285,1603,1994-02-06,78936,12,6578.0,A,1603,1,POPLATEK MESICNE,1993-05-09,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5287,1638,1998-01-26,64224,24,2676.0,C,1638,6,POPLATEK TYDNE,1996-11-12,6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.9,4.02,126,2640.0,3120
5293,1656,1998-10-29,189792,48,3954.0,C,1656,47,POPLATEK MESICNE,1997-02-01,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410
5301,1698,1996-07-06,141948,36,3943.0,C,1698,68,POPLATEK MESICNE,1996-03-14,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
5304,1718,1998-08-20,172272,24,7178.0,C,1718,71,POPLATEK MESICNE,1997-09-23,71,Novy Jicin,north Moravia,161227,5,35,11,4,10,69.7,8678,5.9,5.57,102,4980.0,4595
5310,1762,1995-04-28,248148,36,6893.0,A,1762,28,POPLATEK MESICNE,1993-12-11,28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.6,2.01,112,1580.0,1525
5311,1766,1996-06-15,30060,60,501.0,C,1766,28,POPLATEK MESICNE,1994-09-03,28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.6,2.01,112,1580.0,1525
5312,1772,1996-03-13,202788,36,5633.0,C,1772,31,POPLATEK TYDNE,1995-02-20,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452
5313,1776,1998-05-27,43200,24,1800.0,C,1776,36,POPLATEK MESICNE,1997-07-27,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132
5314,1787,1993-07-05,96396,12,8033.0,B,1787,30,POPLATEK TYDNE,1993-03-22,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.3,3.67,100,2985.0,2804
5316,1801,1993-07-11,165960,36,4610.0,A,1801,46,POPLATEK MESICNE,1993-02-13,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.7,2.31,117,2854.0,2618
5318,1808,1998-09-30,385584,48,8033.0,C,1808,28,POPLATEK MESICNE,1997-05-16,28,Plzen - sever,west Bohemia,72541,66,26,10,0,8,36.9,8594,1.6,2.01,112,1580.0,1525
5319,1811,1994-06-23,239460,60,3991.0,C,1811,40,POPLATEK MESICNE,1993-09-22,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.4,7.07,97,6949.0,6872
5320,1819,1998-01-11,143676,36,3991.0,C,1819,55,POPLATEK TYDNE,1996-10-21,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894
5325,1843,1993-08-03,105804,36,2939.0,A,1843,12,POPLATEK MESICNE,1993-01-30,12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.8,4.31,137,3804.0,3868
5329,1862,1996-10-16,396120,60,6602.0,C,1862,19,POPLATEK TYDNE,1995-04-15,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099
5332,1869,1998-01-29,37944,36,1054.0,C,1869,1,POPLATEK MESICNE,1996-06-14,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5334,1876,1998-09-10,209040,24,8710.0,C,1876,1,POPLATEK MESICNE,1997-09-20,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5337,1886,1996-07-31,162468,36,4513.0,C,1886,32,POPLATEK MESICNE,1996-03-05,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505
5338,1888,1997-08-30,57360,12,4780.0,B,1888,6,POPLATEK MESICNE,1996-10-21,6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.9,4.02,126,2640.0,3120
5343,1906,1997-10-08,44952,24,1873.0,C,1906,1,POPLATEK MESICNE,1996-08-01,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5346,1928,1998-12-06,55632,24,2318.0,C,1928,70,POPLATEK MESICNE,1997-03-02,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
5350,1967,1996-04-21,249312,48,5194.0,C,1967,26,POPLATEK TYDNE,1995-02-13,26,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.6,3.09,131,6041.0,6261
5351,1978,1994-12-04,205200,36,5700.0,A,1978,57,POPLATEK TYDNE,1993-06-11,57,Hodonin,south Moravia,161954,21,37,20,3,8,48.0,8720,3.7,4.5,116,3729.0,3651
5352,1993,1995-04-15,68400,12,5700.0,B,1993,68,POPLATEK MESICNE,1994-10-30,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887
5354,2000,1998-07-14,290820,60,4847.0,C,2000,5,POPLATEK MESICNE,1997-08-06,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040
5358,2018,1997-01-21,38520,12,3210.0,A,2018,42,POPLATEK MESICNE,1995-06-04,42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.4,2.94,87,1658.0,1668
5360,2035,1998-01-25,176328,36,4898.0,C,2035,53,POPLATEK MESICNE,1996-05-10,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903
5363,2051,1997-04-22,293880,60,4898.0,D,2051,64,POPLATEK TYDNE,1995-11-08,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265
5365,2055,1998-07-19,271260,60,4521.0,C,2055,37,POPLATEK MESICNE,1997-04-17,37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.4,5.39,123,4147.0,4166
5366,2062,1996-10-29,86184,12,7182.0,A,2062,70,POPLATEK MESICNE,1996-03-06,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
5367,2064,1997-08-26,83628,36,2323.0,C,2064,54,POPLATEK MESICNE,1996-12-30,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696
5368,2073,1998-10-05,44640,24,1860.0,C,2073,59,POPLATEK MESICNE,1997-08-14,59,Kromeriz,south Moravia,108871,41,29,7,2,6,62.1,8444,3.2,3.47,106,2595.0,2305
5369,2080,1997-09-12,214596,36,5961.0,C,2080,74,POPLATEK MESICNE,1997-04-27,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347
5375,2106,1996-10-03,101520,12,8460.0,A,2106,1,POPLATEK MESICNE,1996-02-01,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5377,2116,1997-08-04,92400,12,7700.0,A,2116,70,POPLATEK MESICNE,1996-05-02,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108
5382,2134,1997-03-17,22932,36,637.0,C,2134,52,POPLATEK MESICNE,1996-08-06,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799
5384,2142,1998-03-07,23328,12,1944.0,C,2142,42,POPLATEK MESICNE,1997-09-01,42,Havlickuv Brod,east Bohemia,95907,87,25,5,2,7,59.1,8388,2.4,2.94,87,1658.0,1668
5385,2143,1996-09-09,71460,36,1985.0,C,2143,1,POPLATEK MESICNE,1996-01-13,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5388,2153,1996-11-28,61560,12,5130.0,A,2153,31,POPLATEK TYDNE,1996-01-07,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452
5389,2165,1997-08-22,78600,24,3275.0,C,2165,51,POPLATEK MESICNE,1997-04-08,51,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.5,2.97,131,3496.0,3839
5390,2167,1994-10-30,170256,24,7094.0,A,2167,16,POPLATEK MESICNE,1993-08-08,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913
5395,2176,1994-07-30,299088,36,8308.0,B,2176,67,POPLATEK MESICNE,1993-06-06,67,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.7,6.55,109,3244.0,3079
5398,2187,1997-11-04,53472,12,4456.0,A,2187,9,POPLATEK TYDNE,1996-02-26,9,Nymburk,central Bohemia,81344,61,23,4,2,6,55.3,8899,3.3,3.97,149,2987.0,2487
5409,2218,1995-11-18,182040,60,3034.0,C,2218,19,POPLATEK MESICNE,1994-11-21,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099
5413,2227,1995-12-12,92976,24,3874.0,A,2227,31,POPLATEK TYDNE,1994-05-22,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452
5414,2228,1995-03-29,185952,48,3874.0,C,2228,34,POPLATEK MESICNE,1994-03-19,34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.4,7.68,100,5323.0,5190
5415,2236,1996-09-26,139464,36,3874.0,D,2236,73,POPLATEK MESICNE,1995-08-27,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433
5418,2245,1995-01-16,347952,48,7249.0,C,2245,29,POPLATEK MESICNE,1993-03-30,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.8,3.6,113,818.0,888
5419,2246,1997-02-05,415800,60,6930.0,C,2246,1,POPLATEK MESICNE,1996-04-25,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
5420,2247,1997-02-24,72504,24,3021.0,C,2247,24,POPLATEK MESICNE,1996-04-13,24,Karlovy Vary,west Bohemia,122603,25,21,6,2,8,80.0,8991,1.3,2.01,128,5198.0,5273
5428,2262,1998-12-02,230220,36,6395.0,C,2262,13,POPLATEK MESICNE,1997-02-08,13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875
5429,2268,1996-07-18,20196,36,561.0,C,2268,1,POPLATEK MESICNE,1995-02-11,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107
